4619,1705561330625543,0.89622229,6.4941063,0.80749822,21,0
dbac,1705561330672528,6.0156789,0.77487952,0.46623644,31,0
dbac,1705561385312641,6.0183721,0.79935336,0.43712297,29,1
4619,1705561385360510,0.87478012,6.5238452,0.77455533,18,1
dbac,1705561385412772,6.0228767,0.77768683,0.44079041,31,2
4619,1705561385413875,0.87343305,6.52,0.78804612,19,2
dbac,1705561385512736,6.0193233,0.77977538,0.4559865,32,3
4619,1705561385513818,0.8874585,6.5214758,0.80466753,23,3
dbac,1705561385612640,6.0235724,0.78940874,0.45842177,30,4
4619,1705561385613724,0.89165962,6.57104,0.7980181,21,4
4619,1705561385712626,0.89571971,6.5315795,0.80851382,20,5
dbac,1705561385713700,6.0096164,0.78541327,0.46516576,33,5
4619,1705561385812710,0.89017296,6.512116,0.80862415,18,6
dbac,1705561385813783,6.0101361,0.79227036,0.48062903,33,6
4619,1705561385913241,0.89185411,6.5072532,0.81145847,20,7
dbac,1705561385914321,6.0188084,0.79100788,0.47639239,30,7
dbac,1705561386012665,6.0125527,0.78583854,0.4791103,32,8
4619,1705561386013731,0.87460589,6.4901476,0.80452693,15,8
4619,1705561386113337,0.88721651,6.4517746,0.81289876,20,9
dbac,1705561386114486,6.0028348,0.78321618,0.47792637,32,9
dbac,1705561386212672,6.0053315,0.78451842,0.47491238,31,10
4619,1705561386213797,0.89360952,6.4712033,0.80598158,20,10
dbac,1705561386312676,6.0038061,0.78024632,0.46370158,30,11
4619,1705561386313818,0.8984043,6.4575863,0.80929142,20,11
4619,1705561386412512,0.89648789,6.4498596,0.81358272,19,12
dbac,1705561386413669,6.0114779,0.778325,0.44639567,28,12
4619,1705561386512453,0.90240896,6.4612341,0.820796,22,13
dbac,1705561386513914,6.0029869,0.79106629,0.45777944,32,13
4619,1705561386612703,0.89341742,6.4556952,0.8261342,19,14
dbac,1705561386613836,6.0091181,0.78957355,0.44608721,29,14
4619,1705561386712482,0.89230961,6.472774,0.82542425,20,15
dbac,1705561386714020,6.008358,0.78549123,0.44303989,30,15
4619,1705561386812684,0.88175154,6.4843593,0.81097335,17,16
dbac,1705561386813818,6.0043874,0.77856904,0.44838524,32,16
4619,1705561386912687,0.882924,6.4576168,0.81858164,19,17
dbac,1705561386913829,6.0110512,0.79142016,0.45099717,30,17
dbac,1705561387012621,6.0247741,0.78599733,0.45172864,30,18
4619,1705561387013785,0.86777961,6.4341159,0.82170254,16,18
dbac,1705561387112506,6.0158587,0.793081,0.44002852,29,19
4619,1705561387113744,0.87934375,6.4228439,0.83201736,21,19
dbac,1705561387212500,6.0034919,0.79856414,0.45077541,32,20
4619,1705561387213669,0.88418174,6.4329352,0.82461727,19,20
4619,1705561387312500,0.87966895,6.3364296,0.86439919,66,21
dbac,1705561387313663,6.0186973,0.79896128,0.44784689,29,21
4619,1705561387412560,0.87628436,6.40411,0.83808285,18,22
dbac,1705561387414172,6.0294065,0.80575705,0.45516911,30,22
4619,1705561387512986,0.8774339,6.4531622,0.81386805,18,23
dbac,1705561387514156,6.022316,0.80716068,0.46880344,32,23
4619,1705561387612672,0.87864846,6.4920421,0.81277329,20,24
dbac,1705561387613825,6.0192327,0.81397581,0.46716422,30,24
4619,1705561387712688,0.8692078,6.4978852,0.80599213,17,25
dbac,1705561387713869,6.0286551,0.81087661,0.46931872,30,25
dbac,1705561387812650,6.0231285,0.81935275,0.46857262,30,26
4619,1705561387813802,0.87428677,6.5074863,0.8041386,19,26
4619,1705561387912644,0.86838084,6.4976544,0.79332829,16,27
dbac,1705561387914642,6.0251613,0.81078839,0.46056637,30,27
dbac,1705561388012653,6.0204077,0.80926543,0.46136054,31,28
4619,1705561388013808,0.88223577,6.519937,0.79591829,21,28
4619,1705561388112574,0.87591726,6.5010128,0.80195129,18,29
dbac,1705561388114084,6.0223546,0.80012649,0.45565695,30,29
4619,1705561388212993,0.87532115,6.4971147,0.80129474,18,30
dbac,1705561388214459,6.0134325,0.81581062,0.45311257,30,30
4619,1705561388312780,0.89626896,6.523808,0.80431151,23,31
dbac,1705561388314306,6.017776,0.80245143,0.45552438,31,31
4619,1705561388412784,0.88533354,6.5185328,0.79387838,16,32
dbac,1705561388413898,6.0336871,0.80676591,0.45742553,29,32
4619,1705561388512588,0.89067137,6.5552921,0.78991908,20,33
dbac,1705561388514094,6.0385518,0.79838556,0.44178063,28,33
4619,1705561388612604,0.8885389,6.5321603,0.7950601,19,34
dbac,1705561388613752,6.0401134,0.80172271,0.43482351,28,34
4619,1705561388712536,0.8903262,6.5113077,0.80587536,20,35
dbac,1705561388714220,6.0300245,0.77508855,0.43842253,62,35
dbac,1705561388812666,6.0236235,0.78069848,0.44282654,31,36
4619,1705561388813828,0.88030314,6.4862223,0.81408376,18,36
4619,1705561388912647,0.87274665,6.472908,0.80884504,17,37
dbac,1705561388913882,6.02537,0.784125,0.44667044,30,37
4619,1705561389012504,0.8759473,6.4639926,0.82253915,20,38
dbac,1705561389014212,6.0218368,0.78583139,0.46795443,33,38
4619,1705561389112539,0.87286824,6.5096722,0.79773849,17,39
dbac,1705561389114288,6.0247793,0.7712816,0.45987359,30,39
4619,1705561389212510,0.8756547,6.5076933,0.80098218,19,40
