BLE,1668553621356681622,DF:DF:EE:00:00:02,-50
BLE,1668553622629548724,DF:DF:EE:00:00:02,-29
BLE,1668553626447034870,DF:DF:EE:00:00:02,-27
BLE,1668553627720065714,DF:DF:EE:00:00:02,-50
BLE,1668553628990736633,DF:DF:EE:00:00:02,-43
BLE,1668553630265947031,DF:DF:EE:00:00:02,-51
BLE,1668553631534716559,DF:DF:EE:00:00:02,-44
BLE,1668553632808604433,DF:DF:EE:00:00:02,-50
BLE,1668553634079467266,DF:DF:EE:00:00:02,-44
BLE,1668553635355489445,DF:DF:EE:00:00:02,-44
BLE,1668553637904943170,DF:DF:EE:00:00:02,-44
BLE,1668553639179728990,DF:DF:EE:00:00:02,-43
BLE,1668553640457688267,DF:DF:EE:00:00:02,-49
BLE,1668553641731313562,DF:DF:EE:00:00:02,-44
BLE,1668553643008229811,DF:DF:EE:00:00:02,-43
BLE,1668553644282543346,DF:DF:EE:00:00:02,-33
BLE,1668553645553443678,DF:DF:EE:00:00:02,-44
BLE,1668553646829922767,DF:DF:EE:00:00:02,-44
BLE,1668553648104935751,DF:DF:EE:00:00:02,-50
BLE,1668553649376249661,DF:DF:EE:00:00:02,-44
BLE,1668553650652539460,DF:DF:EE:00:00:02,-49
BLE,1668553651926701747,DF:DF:EE:00:00:02,-43
BLE,1668553653203019838,DF:DF:EE:00:00:02,-43
BLE,1668553655748276830,DF:DF:EE:00:00:02,-44
BLE,1668553658301390797,DF:DF:EE:00:00:02,-49
BLE,1668553659580487433,DF:DF:EE:00:00:02,-49
BLE,1668553660848831300,DF:DF:EE:00:00:02,-44
BLE,1668553662123850034,DF:DF:EE:00:00:02,-49
BLE,1668553663398546356,DF:DF:EE:00:00:02,-42
BLE,1668553664669033777,DF:DF:EE:00:00:02,-51
BLE,1668553665941988414,DF:DF:EE:00:00:02,-44
BLE,1668553668490045284,DF:DF:EE:00:00:02,-49
BLE,1668553669766591747,DF:DF:EE:00:00:02,-44
BLE,1668553671038052196,DF:DF:EE:00:00:02,-51
BLE,1668553672317391787,DF:DF:EE:00:00:02,-50
BLE,1668553674873743334,DF:DF:EE:00:00:02,-44
BLE,1668553678690695939,DF:DF:EE:00:00:02,-28
