85ab,1702569602241843,0.7925663,6.3397751,0.26811448,9,859
da02,1702569602242922,6.1629472,0.64101529,0.75130093,40,868
85ab,1702569602243824,0.79979217,6.3406405,0.27376741,9,869
da02,1702569602265773,6.1494336,0.64863515,0.73832911,38,878
85ab,1702569602365091,0.80631822,6.3468304,0.27682826,10,879
da02,1702569603265091,6.1452417,0.63421333,0.74577558,41,888
85ab,1702569603365177,0.81231892,6.3755894,0.27331227,14,889
da02,1702569604265156,6.145371,0.63328409,0.753354,41,898
85ab,1702569604365156,0.80646521,6.3520865,0.28075612,10,899
da02,1702569605265221,6.1477156,0.63335365,0.76717907,42,908
85ab,1702569605365066,0.80953157,6.2999005,0.29067335,12,909
da02,1702569606265081,6.1538134,0.6190936,0.76695627,40,918
85ab,1702569606365198,0.81291288,6.3214545,0.28268,11,919
da02,1702569607264334,6.1627192,0.60546374,0.75550729,38,928
85ab,1702569607365693,0.80544984,6.2815046,0.29114595,11,929
da02,1702569608265204,6.1655631,0.60883421,0.74665588,38,938
85ab,1702569608365238,0.8050375,6.3161111,0.2804127,12,939
da02,1702569609265205,6.1619549,0.61824059,0.75585914,41,948
85ab,1702569609365205,0.7891019,6.3468728,0.27354521,12,949
da02,1702569610265204,6.162241,0.62400651,0.75623041,39,958
85ab,1702569610365212,0.79572886,6.35295,0.27275321,10,959
da02,1702569611265442,6.1640182,0.62418514,0.75199926,39,968
85ab,1702569611365450,0.81401813,6.3584085,0.26907715,11,969
da02,1702569612265224,6.1655121,0.63770533,0.758474,39,978
85ab,1702569612365209,0.77479351,6.3677387,0.25637779,61,979
da02,1702569613265686,6.1698179,0.62582958,0.74141163,37,988
85ab,1702569613365205,0.79195994,6.3697953,0.27243736,10,989
da02,1702569614265242,6.1582627,0.63081783,0.728568,38,998
85ab,1702569614365255,0.80561483,6.3989305,0.26754782,15,999
da02,1702569615265266,6.1573997,0.62538868,0.72183073,38,1008
85ab,1702569615365211,0.79159665,6.4149847,0.26240689,13,1009
da02,1702569616265250,6.1609235,0.62010914,0.730494,40,1018
85ab,1702569616365262,0.78460795,6.3960257,0.2685833,9,1019
da02,1702569617264387,6.1588278,0.6029219,0.71287566,37,1028
85ab,1702569617364395,0.77512127,6.414309,0.27384105,13,1029
